id_vuelo, id_avion, id_piloto, fecha, destino, cant_pasajeros, hora_salida, hora_llegada
94,1,1,26/11/2019,alemania,52,13,20
62,2,1,26/11/2019,china,89,16,21
33,5,1,26/11/2019,francia,78,16,19
15,2,1,27/11/2019,uruguay,75,15,19
45,3,1,26/11/2019,italia,54,15,18
81,5,1,26/11/2019,chile,54,17,19
42,2,1,28/11/2019,irlanda,65,13,21
97,3,1,26/11/2019,italia,52,15,22
43,2,1,28/11/2019,alemania,81,16,23
70,4,1,27/11/2019,china,94,14,21
84,4,1,26/11/2019,alemania,88,15,23
63,4,1,28/11/2019,alemania,98,15,21
36,1,1,27/11/2019,colombia,74,16,23
38,3,1,27/11/2019,alemania,93,15,20
11,1,1,26/11/2019,portugal,100,17,21
92,4,1,26/11/2019,honduras,83,15,18
7,2,1,27/11/2019,venezuela,98,13,19
26,5,1,26/11/2019,irlanda,85,17,18
87,2,1,27/11/2019,alemania,94,15,22
80,4,1,26/11/2019,italia,56,17,19
16,5,1,28/11/2019,uruguay,57,13,18
