id_vuelo, id_avion, id_piloto, fecha, destino, cant_pasajeros, hora_salida, hora_llegada
93,4,4,26/11/2019,portugal,74,13,22
18,1,4,26/11/2019,china,96,13,23
65,1,4,26/11/2019,portugal,54,17,18
25,1,4,28/11/2019,colombia,65,16,21
69,2,4,28/11/2019,irlanda,71,15,18
66,5,4,28/11/2019,italia,60,16,18
53,1,4,27/11/2019,francia,90,16,22
51,1,4,28/11/2019,francia,79,15,20
41,2,4,26/11/2019,china,89,14,21
71,2,4,28/11/2019,francia,72,14,19
39,3,4,27/11/2019,honduras,92,17,23
75,4,4,26/11/2019,colombia,50,15,21
32,5,4,28/11/2019,honduras,99,14,19
68,2,4,26/11/2019,italia,95,13,21
47,3,4,27/11/2019,uruguay,77,14,21
24,2,4,28/11/2019,venezuela,92,16,21
1,4,4,28/11/2019,portugal,95,15,18
64,1,4,26/11/2019,uruguay,52,13,19
44,5,4,26/11/2019,rusia,100,13,21
77,2,4,27/11/2019,colombia,73,17,22
40,2,4,26/11/2019,chile,53,14,19
90,1,4,27/11/2019,chile,94,14,22
22,2,4,26/11/2019,rusia,94,17,21
34,4,4,27/11/2019,irlanda,74,16,22
74,4,4,26/11/2019,uruguay,84,14,23
4,4,4,27/11/2019,irlanda,84,16,19
