id_vuelo, id_avion, id_piloto, fecha, destino, cant_pasajeros, hora_salida, hora_llegada
72,2,3,28/11/2019,china,61,15,20
78,2,3,26/11/2019,francia,61,16,22
73,1,3,27/11/2019,alemania,76,15,18
3,3,3,28/11/2019,francia,87,14,23
52,2,3,28/11/2019,chile,50,15,21
91,3,3,27/11/2019,rusia,92,14,21
23,1,3,28/11/2019,uruguay,72,17,22
88,2,3,26/11/2019,uruguay,59,13,19
59,3,3,26/11/2019,irlanda,98,17,18
55,3,3,26/11/2019,italia,95,13,23
21,2,3,28/11/2019,irlanda,55,15,23
49,3,3,28/11/2019,portugal,63,16,21
8,2,3,28/11/2019,honduras,91,13,21
31,2,3,27/11/2019,colombia,93,13,19
35,3,3,28/11/2019,francia,50,16,19
5,5,3,27/11/2019,portugal,55,14,19
28,3,3,27/11/2019,rusia,89,15,19
82,3,3,26/11/2019,francia,99,17,18
