id_vuelo, id_avion, id_piloto, fecha, destino, cant_pasajeros, hora_salida, hora_llegada
85,2,2,28/11/2019,rusia,81,15,21
96,2,2,27/11/2019,portugal,84,15,20
95,2,2,26/11/2019,italia,66,14,18
100,2,2,28/11/2019,chile,73,15,21
50,3,2,28/11/2019,portugal,65,17,18
29,3,2,27/11/2019,irlanda,54,14,20
46,4,2,28/11/2019,portugal,91,17,19
20,2,2,27/11/2019,alemania,80,17,20
12,3,2,26/11/2019,colombia,62,16,21
56,4,2,26/11/2019,rusia,72,17,20
67,1,2,28/11/2019,china,99,15,18
79,3,2,27/11/2019,honduras,62,15,23
89,4,2,26/11/2019,uruguay,63,17,21
10,3,2,28/11/2019,uruguay,64,16,21
13,2,2,28/11/2019,alemania,84,15,23
6,2,2,27/11/2019,alemania,79,13,19
83,3,2,27/11/2019,honduras,82,13,20
48,2,2,28/11/2019,uruguay,51,14,19
14,4,2,28/11/2019,uruguay,79,15,19
57,5,2,26/11/2019,colombia,50,14,23
