id_vuelo, id_avion, id_piloto, fecha, destino, cant_pasajeros, hora_salida, hora_llegada
2,1,5,28/11/2019,honduras,80,17,19
86,4,5,26/11/2019,francia,58,17,18
17,2,5,27/11/2019,venezuela,97,14,18
99,4,5,28/11/2019,francia,69,14,18
9,2,5,26/11/2019,colombia,76,14,23
76,5,5,28/11/2019,honduras,89,15,21
27,4,5,26/11/2019,alemania,82,16,23
54,1,5,28/11/2019,irlanda,81,13,22
58,3,5,26/11/2019,colombia,81,16,18
98,4,5,27/11/2019,rusia,85,16,23
19,1,5,26/11/2019,alemania,99,14,22
30,5,5,26/11/2019,chile,68,14,20
60,4,5,27/11/2019,francia,51,14,18
61,5,5,28/11/2019,irlanda,91,15,19
37,1,5,28/11/2019,irlanda,53,16,18
